Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,aprobacion programador,correo de programador,correo de planeador,imagen_observacion,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador
EQUIPOS DE SERVICIOS INDUSTRIALES,820167,Secador de Aire,13349280,Inspeccion semanal de secadora,REVISAR PRESIONES Y TEMPERATURA,si,CUMPLE,"10/5/2024, 1:10:29","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,820167,Secador de Aire,13349280,Inspeccion semanal de secadora,REVISAR CAIDA PRESION FILTRO<10psi,si,CUMPLE,"10/5/2024, 1:10:55","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,820167,Secador de Aire,13349280,Inspeccion semanal de secadora,REVISAR RUIDOS ANORMALES ,si,CUMPLE,"10/5/2024, 1:11:01","0,375",si,.,.,CUMPLE,si,si,si,si
EQUIPOS DE SERVICIOS INDUSTRIALES,820167,Secador de Aire,13349280,Inspeccion semanal de secadora,REVISAR VENTILADOR,si,CUMPLE,"10/5/2024, 1:11:06","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,820167,Secador de Aire,13349280,Inspeccion semanal de secadora,VERIF. VALVULAS DE SEGURIDAD,si,CUMPLE,"10/5/2024, 1:11:12","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,820167,Secador de Aire,13349280,Inspeccion semanal de secadora,ESTADO DE PINTURA,si,CUMPLE,"10/5/2024, 1:11:19","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,820167,Secador de Aire,13349280,Inspeccion semanal de secadora,ESTADO DE ILUMINACION,si,CUMPLE,"10/5/2024, 1:11:25","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,820167,Secador de Aire,13349280,Inspeccion semanal de secadora,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"10/5/2024, 1:22:30","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,REVISAR PRESIONES Y TEMPERATURA,si,CUMPLE,"10/5/2024, 1:11:39","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,REVISAR CAIDA PRESION FILTRO<10psi,si,CUMPLE,"10/5/2024, 1:11:45","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,REVISAR RUIDOS ANORMALES ,si,CUMPLE,"10/5/2024, 1:11:49","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,INSP FUGA ACEITE (10 GOTAS/MIN ES NORMAL),si,CUMPLE,"10/5/2024, 1:11:56","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,REVISAR NIVELES ACEITE,si,CUMPLE,"10/5/2024, 1:12:01","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,REVISAR TABLERO ELECTRICO,si,CUMPLE,"10/5/2024, 1:12:05","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,REVISAR NIVEL REFRIG TANQUE,si,CUMPLE,"10/5/2024, 2:17:12","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,INSP. ALINEACION ACOPLE,si,CUMPLE,"10/5/2024, 1:35:10","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,REV. CALIBRACION TRANSDUCTOR Y RTD,si,CUMPLE,"10/5/2024, 1:22:45","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,REVISION PRESION Y TEMPERATURA,si,CUMPLE,"10/5/2024, 1:12:31","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,VERIF. VALVULAS DE SEGURIDAD,si,CUMPLE,"10/5/2024, 1:12:36","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,ESTADO DEL TANQUE,si,CUMPLE,"10/5/2024, 1:34:49","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,ESTADO DE ILUMINACION,si,CUMPLE,"10/5/2024, 1:18:06","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649664,Compresor de aire 1,13349277,Inspeccion semanal compresor 1,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"10/5/2024, 23:04:59","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,REVISAR PRESIONES Y TEMPERATURA,si,CUMPLE,"10/5/2024, 1:18:19","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,REVISAR CAIDA PRESION FILTRO<10psi,si,CUMPLE,"10/5/2024, 1:18:25","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,REVISAR RUIDOS ANORMALES ,si,CUMPLE,"10/5/2024, 1:18:51","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,INSP FUGA ACEITE (10 GOTAS/MIN ES NORMAL),si,CUMPLE,"10/5/2024, 1:18:58","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,REVISAR NIVELES ACEITE,si,CUMPLE,"10/5/2024, 1:19:05","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,REVISAR TABLERO ELECTRICO,si,CUMPLE,"10/5/2024, 1:19:10","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,REVISAR NIVEL REFRIG TANQUE,si,CUMPLE,"10/5/2024, 2:17:25","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,INSP. ALINEACION ACOPLE,si,CUMPLE,"10/5/2024, 1:35:21","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,REV. CALIBRACION TRANSDUCTOR Y RTD,si,CUMPLE,"10/5/2024, 1:35:28","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,REVISION PRESION Y TEMPERATURA,si,CUMPLE,"10/5/2024, 1:20:51","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,VERIF. VALVULAS DE SEGURIDAD,si,CUMPLE,"10/5/2024, 1:20:56","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,ESTADO DEL TANQUE,si,CUMPLE,"10/5/2024, 1:35:35","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,ESTADO DE ILUMINACION,si,CUMPLE,"10/5/2024, 1:21:01","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,649665,Compresor de aire 2,13349271,Inspeccion semanal compresor 2,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"10/5/2024, 2:17:33","0,2142857143",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709744,Tanque de agua de caldera,13349294,INSPECCION DE TK DE AGUA CALDERA,ESTADO TANQUES ,si,CUMPLE,"15/5/2024, 2:29:55",2,si,.,.,CUMPLE,si,si,si,si
TRATAMIENTO DE AGUA POTABLE,709749,Tanques de agua (piscinas),13349279,INSPECCION DE TK DE PISCINAS,INSTRUMENTOS MEDICION,,,,3,,,,,si,si,si,si
EQUIPOS DE SERVICIOS INDUSTRIALES,709741,Tanque de ACPM,13349293,INSPECCION SEMANAL TK ACPM,ESTADO TANQUES ,si,CUMPLE,"15/5/2024, 2:30:35","0,125",si,.,.,CUMPLE,si,si,si,si
EQUIPOS DE SERVICIOS INDUSTRIALES,709741,Tanque de ACPM,13349293,INSPECCION SEMANAL TK ACPM,VISORES NIVEL,si,CUMPLE,"15/5/2024, 2:30:56","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709741,Tanque de ACPM,13349293,INSPECCION SEMANAL TK ACPM,"FUNC. VALVULAS, TUBERIAS",si,CUMPLE,"15/5/2024, 2:31:17","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709741,Tanque de ACPM,13349293,INSPECCION SEMANAL TK ACPM,ESCAPE FLUIDOS ,si,CUMPLE,"15/5/2024, 2:31:38","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709741,Tanque de ACPM,13349293,INSPECCION SEMANAL TK ACPM,FUNC. MOTOBOM TANQUE,si,CUMPLE,"15/5/2024, 2:32:06","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709741,Tanque de ACPM,13349293,INSPECCION SEMANAL TK ACPM,INSTRUMENTOS MEDICION,si,CUMPLE,"15/5/2024, 2:32:21","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709741,Tanque de ACPM,13349293,INSPECCION SEMANAL TK ACPM,ESTADO GRAL PINTURA,si,CUMPLE,"15/5/2024, 2:32:45","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709741,Tanque de ACPM,13349293,INSPECCION SEMANAL TK ACPM,INSP SISTEMA ELECTRICO GRAL,si,CUMPLE,"15/5/2024, 2:32:56","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709740,Tanque de fuel oil,13349292,inspeccion semanal tk de fuel oil,ESTADO TANQUES ,si,CUMPLE,"15/5/2024, 2:35:59","0,375",si,.,.,CUMPLE,si,si,si,si
EQUIPOS DE SERVICIOS INDUSTRIALES,709740,Tanque de fuel oil,13349292,inspeccion semanal tk de fuel oil,VISORES NIVEL,si,CUMPLE,"15/5/2024, 2:36:11","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709740,Tanque de fuel oil,13349292,inspeccion semanal tk de fuel oil,"FUNC. VALVULAS, TUBERIAS",si,CUMPLE,"15/5/2024, 2:36:32","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709740,Tanque de fuel oil,13349292,inspeccion semanal tk de fuel oil,ESCAPE FLUIDOS ,si,CUMPLE,"15/5/2024, 2:36:42","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709740,Tanque de fuel oil,13349292,inspeccion semanal tk de fuel oil,FUNC. MOTOBOM TANQUE,si,CUMPLE,"15/5/2024, 2:36:58","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709740,Tanque de fuel oil,13349292,inspeccion semanal tk de fuel oil,INSTRUMENTOS MEDICION,si,CUMPLE,"15/5/2024, 2:37:11","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709740,Tanque de fuel oil,13349292,inspeccion semanal tk de fuel oil,ESTADO GRAL PINTURA,si,CUMPLE,"15/5/2024, 2:37:30","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,709740,Tanque de fuel oil,13349292,inspeccion semanal tk de fuel oil,INSP SISTEMA ELECTRICO GRAL,si,CUMPLE,"15/5/2024, 2:37:41","0,375",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,669463,Torre de Enfriamiento,13343558,Inspeccion de correas,VENTILADORES,si,CUMPLE,"14/5/2024, 8:58:16","0,125",si,.,.,CUMPLE,si,si,si,si
EQUIPOS DE SERVICIOS INDUSTRIALES,669463,Torre de Enfriamiento,13343558,Inspeccion de correas,MOTOBOMBAS,si,CUMPLE,"14/5/2024, 8:58:34","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,669463,Torre de Enfriamiento,13343558,Inspeccion de correas,ESCAPES AGUA,si,CUMPLE,"14/5/2024, 8:58:39","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,669463,Torre de Enfriamiento,13343558,Inspeccion de correas,ESTADO BOQUILLAS,si,CUMPLE,"14/5/2024, 8:58:48","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,669463,Torre de Enfriamiento,13343558,Inspeccion de correas,ESTADO DEFLECTORES,si,CUMPLE,"14/5/2024, 8:59:00","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,669463,Torre de Enfriamiento,13343558,Inspeccion de correas,"TUBERIAS, VALVULAS",si,CUMPLE,"14/5/2024, 8:59:07","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,669463,Torre de Enfriamiento,13343558,Inspeccion de correas,ESTADO GRAL PINTURA,si,CUMPLE,"15/5/2024, 2:40:05","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,669463,Torre de Enfriamiento,13343558,Inspeccion de correas,TABLEROS ELECTRICOS/CLIMATIZADOR,si,CUMPLE,"15/5/2024, 2:40:17","0,125",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,INSPECCION DE ELEVADOR,si,CUMPLE,"16/5/2024, 3:21:12","0,2857142857",si,.,.,CUMPLE,si,si,si,si
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,INSTRUMENTOS MEDICION,si,CUMPLE,"16/5/2024, 3:21:33","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,"MOTOBOMBAS: AGUA, DOSIFICADOR",si,CUMPLE,"16/5/2024, 3:21:53","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,INSPECCION DE VENTILADOR,si,CUMPLE,"16/5/2024, 3:22:06","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,"ESCAPES FLUIDOS: GAS, VAPOR",si,CUMPLE,"16/5/2024, 3:22:43","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,"VALVULAS, ELECTROVALVULAS",si,CUMPLE,"16/5/2024, 3:22:56","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,"TUBERIAS, CHEQUES",si,CUMPLE,"16/5/2024, 3:23:17","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,VALVULAS DE SEGURIDAD,si,CUMPLE,"16/5/2024, 3:23:33","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,"ESTADO GRAL, PINTURA",si,CUMPLE,"16/5/2024, 3:23:56","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,VISOR Y MIRILLA,si,CUMPLE,"16/5/2024, 3:24:13","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,VALVULAS DE PURGA,si,CUMPLE,"16/5/2024, 3:24:36","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,VALVULA MODULADORA,si,CUMPLE,"16/5/2024, 3:24:58","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,VALVULAS REGULADORAS GAS,si,CUMPLE,"16/5/2024, 3:25:15","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,659406,Caldera Fuel Oil,13349275,Inspeccion semanal caldera de fuel oil,QUEMADOR,si,CUMPLE,"16/5/2024, 3:25:27","0,2857142857",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP FILTRO TRAMPA,si,CUMPLE,"16/5/2024, 3:28:56","0,1578947368",si,.,.,CUMPLE,si,si,si,si
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP NIVEL ACEITE MOTOR,si,CUMPLE,"16/5/2024, 3:29:11","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP. NIVEL REFRIGERANTE,si,CUMPLE,"16/5/2024, 3:22:24","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP NIVEL COMBUSTIBLE,si,CUMPLE,"16/5/2024, 3:29:34","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP. FUSIBLES CONTROLES Y ALTERNADOR,si,CUMPLE,"16/5/2024, 3:29:49","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,"INSP BATERIAS(ESTADO,CARGA)",si,CUMPLE,"16/5/2024, 3:30:03","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP FILTRO AIRE,si,CUMPLE,"16/5/2024, 3:30:13","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP LUGAR DESPEJADO (LIMPIO),si,CUMPLE,"16/5/2024, 3:30:36","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP RUIDOS EXTRAÑOS,si,CUMPLE,"16/5/2024, 3:30:49","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP CORREAS,si,CUMPLE,"16/5/2024, 3:31:13","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP FUGA FLUIDOS,si,CUMPLE,"16/5/2024, 3:31:32","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP TABLERO MONITOR,si,CUMPLE,"16/5/2024, 3:31:44","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP TEMP DEVANADO GENERADOR,si,CUMPLE,"16/5/2024, 3:32:05","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP CALENTADOR CAMISAS,si,CUMPLE,"16/5/2024, 3:32:22","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,"INS VOLTAJE,FRECUENCIA",si,CUMPLE,"16/5/2024, 3:32:38","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,COMPROBAR CONEXIONES MOTOR,si,CUMPLE,"16/5/2024, 3:32:59","0,1578947368",si,.,.,CUMPLE,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES,679368,Planta Electrica,13349273,Inspeccion semanal planta electrica,INSP GENERADOR,si,CUMPLE,"16/5/2024, 3:33:12","0,1578947368",si,.,.,CUMPLE,,,,
